what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367030524585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367030555957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367030559994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367030677499
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367030680412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367030812905
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367030829517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367030830310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367030907269
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367030908728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367030909963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367030912581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367030922541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367030925148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031080380
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031082230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031154696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031158294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031182517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031313085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031338207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031341454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031420059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031420643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031421666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031424016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031424825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1367031425228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031688750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031693654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031696414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367031774454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367031774620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367031774804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031795163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031799384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367031840964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367031851529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031920594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031921836
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367031923342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031932285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031951073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367031952350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032097494
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367032100488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367032206957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367032208472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367032448223
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367032449590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367032454887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367032458006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032681787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032682835
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367032684094
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367032718601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367032732126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367032732326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367032732477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367032732702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032745055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032746558
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367032747914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032756039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032780314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032780872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032923679
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367032928171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032992297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367032993849
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367032995867
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367033007733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033022090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033023507
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367033026229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033032674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033216942
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367033218368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033220305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1367033220319
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033232588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033253229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367033253882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367033417744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367033423071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367033916788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367033920134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367033945115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367033968448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367033973412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367034156552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367034168012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367034178105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034200348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034201649
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367034204003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034211242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034244726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034245012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034251763
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367034255425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034288661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034710052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1367034736858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367034740528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367034773703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367034789487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367034797503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367034800807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034809182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034810242
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367034811733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034820292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034867481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367034869374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367035511556
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367035512408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367035531412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367035639999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367035648814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367035662194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1367035662424
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1367035664455
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367035664824
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367035664875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036159469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036190034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367036369187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036371802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367036406132
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036411187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367036440877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036448162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367036465015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036468855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036485170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036486644
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1367036488494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036496653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367036890176
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1367036892757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036916362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036917857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1367036935772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367036950403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1367037004414
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1367037007234
